model_name,dataset,plan_type,pass_at_1,passed_count,total_count
codellama_7b,humaneval,none,42.038216560509554,66,157
codellama_7b,humaneval,baseline,8.280254777070063,13,157
codellama_7b,humaneval,finetuned,19.10828025477707,30,157
codellama_7b,openeval,none,25.842696629213485,46,178
codellama_7b,openeval,baseline,5.617977528089887,10,178
codellama_7b,openeval,finetuned,16.292134831460675,29,178
starcoder_1b,humaneval,none,10.38961038961039,16,154
starcoder_1b,humaneval,baseline,1.910828025477707,3,157
starcoder_1b,humaneval,finetuned,10.828025477707007,17,157
starcoder_1b,openeval,none,5.056179775280898,9,178
starcoder_1b,openeval,baseline,1.1235955056179776,2,178
starcoder_1b,openeval,finetuned,7.865168539325842,14,178
starcoder2_3b,humaneval,none,0.0,0,157
starcoder2_3b,humaneval,baseline,16.216216216216218,12,74
starcoder2_3b,humaneval,finetuned,2.547770700636943,4,157
starcoder2_3b,openeval,none,0.0,0,178
starcoder2_3b,openeval,baseline,6.097560975609756,5,82
starcoder2_3b,openeval,finetuned,2.8089887640449436,5,178
starcoder2_7b,humaneval,none,0.0,0,157
starcoder2_7b,humaneval,baseline,0.0,0,157
starcoder2_7b,humaneval,finetuned,0.0,0,157
starcoder2_7b,openeval,none,0.0,0,178
starcoder2_7b,openeval,baseline,0.5617977528089888,1,178
starcoder2_7b,openeval,finetuned,0.0,0,178
qwen2.5-coder_0.5b,humaneval,none,46.45161290322581,72,155
qwen2.5-coder_0.5b,humaneval,baseline,13.157894736842104,5,38
qwen2.5-coder_0.5b,humaneval,finetuned,26.751592356687897,42,157
qwen2.5-coder_0.5b,openeval,none,21.34831460674157,38,178
qwen2.5-coder_0.5b,openeval,baseline,3.932584269662921,7,178
qwen2.5-coder_0.5b,openeval,finetuned,10.674157303370785,19,178
qwen2.5-coder_1.5b,humaneval,none,66.87898089171973,105,157
qwen2.5-coder_1.5b,humaneval,baseline,15.92356687898089,25,157
qwen2.5-coder_1.5b,humaneval,finetuned,31.84713375796178,50,157
qwen2.5-coder_1.5b,openeval,none,30.89887640449438,55,178
qwen2.5-coder_1.5b,openeval,baseline,12.359550561797752,22,178
qwen2.5-coder_1.5b,openeval,finetuned,17.02127659574468,24,141
qwen2.5-coder_3b,humaneval,none,83.43949044585987,131,157
qwen2.5-coder_3b,humaneval,baseline,52.86624203821656,83,157
qwen2.5-coder_3b,humaneval,finetuned,40.76433121019109,64,157
qwen2.5-coder_3b,openeval,none,38.764044943820224,69,178
qwen2.5-coder_3b,openeval,baseline,23.595505617977526,42,178
qwen2.5-coder_3b,openeval,finetuned,20.786516853932586,37,178
qwen2.5-coder_7b,humaneval,none,84.71337579617835,133,157
qwen2.5-coder_7b,humaneval,baseline,71.3375796178344,112,157
qwen2.5-coder_7b,humaneval,finetuned,59.23566878980891,93,157
qwen2.5-coder_7b,openeval,none,40.44943820224719,72,178
qwen2.5-coder_7b,openeval,baseline,31.46067415730337,56,178
qwen2.5-coder_7b,openeval,finetuned,27.52808988764045,49,178
gpt-4o-mini,humaneval,none,85.35031847133759,134,157
gpt-4o-mini,humaneval,baseline,87.89808917197452,138,157
gpt-4o-mini,humaneval,finetuned,78.343949044586,123,157
gpt-4o-mini,openeval,none,43.82022471910113,78,178
gpt-4o-mini,openeval,baseline,38.764044943820224,69,178
